position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2056,My Home Dream 2,PS,Victor Interactive  ,Victor Interactive Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Dec 99  ,N/A
2057,Mystic Ark: Maboroshi Gekijo,PS,Enix  ,Produce!  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Mar 99  ,N/A
2058,N-Gauge Unten Kibun Game: Gatan Goton,PS,Toshiba EMI   ,Tomy  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Mar 99  ,N/A
2059,Nadashiki Unou de Adventure: Katachi 123 0Sai - 2Sai Muke,PS,Success  ,Success  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Sep 00  ,N/A
2060,Nainai no Kiyotantei,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 99  ,N/A
2061,Nakajima Miyuki: Namiromu,PS,Oracion  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Oct 98  ,N/A
2062,Namco Anthology 1,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Jun 98  ,N/A
2063,Namco Anthology 2,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Sep 98  ,N/A
2064,Namco Museum Encore,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 97  ,N/A
2065,Nanatsu no Hikan,PS,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Aug 96  ,N/A
2066,Naniwa Wangan Battle,PS,Medioza  ,Medioza  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Mar 98  ,N/A
2067,Naruto: Shinobi no Sato no Jintori Kassen,PS,Bandai  ,Dimps Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 03  ,N/A
