position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
591,Test Drive Unlimited,X360,Atari  ,Eden Studios  ,N/A  ,8.0  ,N/A  ,N/A,0.32m,0.23m,0.04m,0.02m,0.02m,05th Sep 06  ,N/A
592,Singularity,X360,Activision  ,Raven Software  ,7.7  ,7.7  ,N/A  ,N/A,0.32m,0.24m,0.04m,0.00m,0.03m,29th Jun 10  ,N/A
593,Clive Barker's Jericho,X360,Codemasters  ,Mercury Steam / Alchemic Productions  ,N/A  ,5.8  ,N/A  ,N/A,0.32m,0.28m,0.01m,N/A,0.02m,23rd Oct 07  ,N/A
594,BlazBlue: Continuum Shift,X360,Aksys Games  ,Arc System Works  ,N/A  ,8.6  ,N/A  ,N/A,0.32m,0.23m,0.04m,0.02m,0.02m,27th Jul 10  ,N/A
595,Crash of the Titans,X360,Sierra Entertainment  ,Radical Entertainment  ,N/A  ,6.6  ,N/A  ,N/A,0.32m,0.27m,0.02m,N/A,0.02m,04th Oct 07  ,N/A
596,Harry Potter and the Half-Blood Prince,X360,Electronic Arts  ,Bright Light Productions  ,N/A  ,N/A  ,N/A  ,N/A,0.31m,0.17m,0.11m,N/A,0.03m,30th Jun 09  ,N/A
597,Catherine,X360,Atlus  ,Atlus  ,N/A  ,7.9  ,N/A  ,N/A,0.31m,0.20m,0.06m,0.03m,0.02m,26th Jul 11  ,12th Sep 18
598,Namco Museum: Virtual Arcade,X360,Namco Bandai  ,Namco Bandai Games  ,N/A  ,7.0  ,N/A  ,N/A,0.31m,0.27m,0.01m,0.01m,0.02m,04th Nov 08  ,N/A
599,The Legend of Spyro: Dawn of the Dragon,X360,Vivendi Games  ,Etranges Libellules  ,N/A  ,N/A  ,N/A  ,N/A,0.31m,0.16m,0.13m,N/A,0.03m,21st Oct 08  ,N/A
600,Fuel,X360,Codemasters  ,Asobo Studio  ,N/A  ,6.6  ,N/A  ,N/A,0.31m,0.09m,0.18m,0.00m,0.04m,02nd Jun 09  ,05th Aug 20
601,Dark Void,X360,Capcom  ,Airtight Games  ,N/A  ,6.1  ,N/A  ,N/A,0.31m,0.19m,0.09m,N/A,0.03m,19th Jan 10  ,N/A
602,Lord of the Rings: Battle for Middle-Earth,X360,Electronic Arts  ,EA Los Angeles  ,N/A  ,N/A  ,N/A  ,N/A,0.31m,0.28m,N/A,N/A,0.02m,05th Jul 06  ,N/A
