position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
149,BioShock: The Collection,XOne,2K Games  ,"Blind Squirrel Digital, Inc  ",N/A  ,N/A  ,N/A  ,N/A,0.48m,0.35m,0.08m,N/A,0.05m,13th Sep 16  ,30th Apr 18
150,Disney Infinity 3.0,XOne,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,0.46m,0.30m,0.12m,N/A,0.04m,30th Aug 15  ,20th Mar 18
151,State of Decay 2,XOne,Microsoft Studios  ,Undead Labs  ,6.0  ,7.0  ,N/A  ,N/A,0.46m,0.27m,0.14m,N/A,0.04m,22nd May 18  ,25th Sep 18
152,Prey (2017),XOne,Bethesda Softworks  ,Arkane Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.45m,0.21m,0.20m,N/A,0.04m,05th May 17  ,18th Jan 18
153,Skylanders: Trap Team,XOne,Activision  ,Toys for Bob  ,N/A  ,N/A  ,N/A  ,N/A,0.45m,0.34m,0.07m,N/A,0.04m,05th Oct 14  ,17th Mar 18
154,Lego Batman 3: Beyond Gotham,XOne,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,0.44m,0.24m,0.17m,N/A,0.04m,11th Nov 14  ,01st Dec 18
155,EA Sports UFC 3,XOne,EA Sports  ,EA Vancouver  ,N/A  ,N/A  ,N/A  ,N/A,0.44m,0.30m,0.10m,N/A,0.04m,02nd Feb 18  ,11th Feb 18
156,Rocksmith 2014,XOne,Ubisoft  ,Ubisoft San Francisco  ,N/A  ,9.0  ,N/A  ,N/A,0.43m,0.31m,0.08m,N/A,0.04m,04th Oct 16  ,08th Mar 18
157,Sniper Elite III,XOne,505 Games  ,Rebellion Developments  ,N/A  ,N/A  ,N/A  ,N/A,0.43m,0.27m,0.12m,N/A,0.04m,01st Jul 14  ,22nd Sep 18
158,Hello Neighbor,XOne,Gearbox Software  ,Dynamic Pixels  ,N/A  ,N/A  ,N/A  ,N/A,0.42m,0.27m,0.11m,N/A,0.04m,08th Dec 17  ,31st Dec 17
159,NHL 15,XOne,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.42m,0.32m,0.06m,N/A,0.04m,09th Sep 14  ,10th Jan 18
160,Project CARS,XOne,Bandai Namco Games  ,Slightly Mad Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.41m,0.21m,0.16m,N/A,0.04m,12th May 15  ,05th Jan 18
161,Destiny: The Collection,XOne,Activision  ,Bungie  ,N/A  ,N/A  ,N/A  ,N/A,0.41m,0.25m,0.12m,N/A,0.04m,19th Sep 16  ,14th Sep 18
162,Skylanders: SuperChargers,XOne,Activision  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,N/A,0.40m,0.31m,0.05m,N/A,0.04m,20th Sep 15  ,06th Apr 18
163,Deus Ex: Mankind Divided,XOne,Square Enix  ,Eidos Montreal  ,N/A  ,N/A  ,N/A  ,N/A,0.39m,0.25m,0.11m,N/A,0.04m,23rd Aug 16  ,18th Jan 18
164,NHL 18,XOne,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.39m,0.32m,0.03m,N/A,0.04m,15th Sep 17  ,N/A
165,The Evil Within 2,XOne,Bethesda Softworks  ,Tango Gameworks  ,N/A  ,N/A  ,N/A  ,N/A,0.39m,0.25m,0.10m,N/A,0.04m,13th Oct 17  ,10th May 18
166,Rayman Legends,XOne,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,N/A  ,N/A  ,N/A,0.38m,0.13m,0.22m,N/A,0.03m,18th Feb 14  ,20th Mar 18
167,Just Dance 2016,XOne,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,N/A,0.38m,0.30m,0.04m,N/A,0.04m,20th Oct 15  ,05th Apr 18
